Datum,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
19/06/2020,Drenthe,22,Ziekenhuisopname,0,116
20/06/2020,Drenthe,22,Overleden,0,41
20/06/2020,Drenthe,22,Totaal,1,533
20/06/2020,Drenthe,22,Ziekenhuisopname,0,116
21/06/2020,Drenthe,22,Overleden,0,41
21/06/2020,Drenthe,22,Totaal,0,533
21/06/2020,Drenthe,22,Ziekenhuisopname,0,116
22/06/2020,Drenthe,22,Overleden,0,41
22/06/2020,Drenthe,22,Totaal,0,533
22/06/2020,Drenthe,22,Ziekenhuisopname,0,116
23/06/2020,Drenthe,22,Overleden,0,41
23/06/2020,Drenthe,22,Totaal,0,533
23/06/2020,Drenthe,22,Ziekenhuisopname,0,116
24/06/2020,Drenthe,22,Overleden,0,41
24/06/2020,Drenthe,22,Totaal,0,533
24/06/2020,Drenthe,22,Ziekenhuisopname,0,116
25/06/2020,Drenthe,22,Overleden,0,41
25/06/2020,Drenthe,22,Totaal,0,533
25/06/2020,Drenthe,22,Ziekenhuisopname,0,116
26/06/2020,Drenthe,22,Overleden,0,41
26/06/2020,Drenthe,22,Totaal,0,533
26/06/2020,Drenthe,22,Ziekenhuisopname,0,116
27/06/2020,Drenthe,22,Overleden,0,41
27/06/2020,Drenthe,22,Totaal,0,533
27/06/2020,Drenthe,22,Ziekenhuisopname,0,116
28/06/2020,Drenthe,22,Overleden,0,41
28/06/2020,Drenthe,22,Totaal,0,533
28/06/2020,Drenthe,22,Ziekenhuisopname,1,117
29/06/2020,Drenthe,22,Overleden,0,41
29/06/2020,Drenthe,22,Totaal,0,533
29/06/2020,Drenthe,22,Ziekenhuisopname,0,117
30/06/2020,Drenthe,22,Overleden,0,41
30/06/2020,Drenthe,22,Totaal,0,533
30/06/2020,Drenthe,22,Ziekenhuisopname,0,117
01/07/2020,Drenthe,22,Overleden,0,41
01/07/2020,Drenthe,22,Totaal,0,533
01/07/2020,Drenthe,22,Ziekenhuisopname,0,117
02/07/2020,Drenthe,22,Overleden,0,41
02/07/2020,Drenthe,22,Totaal,1,534
02/07/2020,Drenthe,22,Ziekenhuisopname,0,117
03/07/2020,Drenthe,22,Overleden,0,41
03/07/2020,Drenthe,22,Totaal,0,534
03/07/2020,Drenthe,22,Ziekenhuisopname,0,117
04/07/2020,Drenthe,22,Overleden,0,41
04/07/2020,Drenthe,22,Totaal,-2,532
04/07/2020,Drenthe,22,Ziekenhuisopname,0,117
05/07/2020,Drenthe,22,Overleden,0,41
05/07/2020,Drenthe,22,Totaal,0,532
05/07/2020,Drenthe,22,Ziekenhuisopname,0,117
06/07/2020,Drenthe,22,Overleden,0,41
06/07/2020,Drenthe,22,Totaal,-1,531
06/07/2020,Drenthe,22,Ziekenhuisopname,0,117
07/07/2020,Drenthe,22,Overleden,0,41
07/07/2020,Drenthe,22,Totaal,0,531
07/07/2020,Drenthe,22,Ziekenhuisopname,0,117
08/07/2020,Drenthe,22,Overleden,0,41
08/07/2020,Drenthe,22,Totaal,1,532
08/07/2020,Drenthe,22,Ziekenhuisopname,0,117
09/07/2020,Drenthe,22,Overleden,0,41
09/07/2020,Drenthe,22,Totaal,-1,531
09/07/2020,Drenthe,22,Ziekenhuisopname,0,117
10/07/2020,Drenthe,22,Overleden,0,41
10/07/2020,Drenthe,22,Totaal,1,532
10/07/2020,Drenthe,22,Ziekenhuisopname,0,117
11/07/2020,Drenthe,22,Overleden,0,41
11/07/2020,Drenthe,22,Totaal,0,532
11/07/2020,Drenthe,22,Ziekenhuisopname,0,117
12/07/2020,Drenthe,22,Overleden,0,41
12/07/2020,Drenthe,22,Totaal,0,532
12/07/2020,Drenthe,22,Ziekenhuisopname,0,117
13/07/2020,Drenthe,22,Overleden,0,41
13/07/2020,Drenthe,22,Totaal,0,532
13/07/2020,Drenthe,22,Ziekenhuisopname,0,117
14/07/2020,Drenthe,22,Overleden,0,41
14/07/2020,Drenthe,22,Totaal,0,532
14/07/2020,Drenthe,22,Ziekenhuisopname,0,117
15/07/2020,Drenthe,22,Overleden,0,41
15/07/2020,Drenthe,22,Totaal,2,534
15/07/2020,Drenthe,22,Ziekenhuisopname,0,117
16/07/2020,Drenthe,22,Overleden,0,41
16/07/2020,Drenthe,22,Totaal,0,534
16/07/2020,Drenthe,22,Ziekenhuisopname,0,117
17/07/2020,Drenthe,22,Overleden,0,41
17/07/2020,Drenthe,22,Totaal,2,536
17/07/2020,Drenthe,22,Ziekenhuisopname,0,117
18/07/2020,Drenthe,22,Overleden,0,41
18/07/2020,Drenthe,22,Totaal,3,539
18/07/2020,Drenthe,22,Ziekenhuisopname,1,118
19/07/2020,Drenthe,22,Overleden,0,41
19/07/2020,Drenthe,22,Totaal,0,539
19/07/2020,Drenthe,22,Ziekenhuisopname,0,118
20/07/2020,Drenthe,22,Overleden,0,41
20/07/2020,Drenthe,22,Totaal,0,539
20/07/2020,Drenthe,22,Ziekenhuisopname,0,118
21/07/2020,Drenthe,22,Overleden,0,41
21/07/2020,Drenthe,22,Totaal,1,540
21/07/2020,Drenthe,22,Ziekenhuisopname,0,118
22/07/2020,Drenthe,22,Overleden,0,41
22/07/2020,Drenthe,22,Totaal,2,542
22/07/2020,Drenthe,22,Ziekenhuisopname,1,119
23/07/2020,Drenthe,22,Overleden,0,41
23/07/2020,Drenthe,22,Totaal,3,545
23/07/2020,Drenthe,22,Ziekenhuisopname,0,119
24/07/2020,Drenthe,22,Overleden,0,41
24/07/2020,Drenthe,22,Totaal,1,546
24/07/2020,Drenthe,22,Ziekenhuisopname,0,119
25/07/2020,Drenthe,22,Overleden,0,41
25/07/2020,Drenthe,22,Totaal,2,548
25/07/2020,Drenthe,22,Ziekenhuisopname,0,119
26/07/2020,Drenthe,22,Overleden,0,41
26/07/2020,Drenthe,22,Totaal,1,549
26/07/2020,Drenthe,22,Ziekenhuisopname,0,119
27/07/2020,Drenthe,22,Overleden,0,41
27/07/2020,Drenthe,22,Totaal,0,549
27/07/2020,Drenthe,22,Ziekenhuisopname,0,119
28/07/2020,Drenthe,22,Overleden,0,41
28/07/2020,Drenthe,22,Totaal,0,549
28/07/2020,Drenthe,22,Ziekenhuisopname,0,119
29/07/2020,Drenthe,22,Overleden,0,41
29/07/2020,Drenthe,22,Totaal,0,549
29/07/2020,Drenthe,22,Ziekenhuisopname,0,119
30/07/2020,Drenthe,22,Overleden,0,41
30/07/2020,Drenthe,22,Totaal,1,550
30/07/2020,Drenthe,22,Ziekenhuisopname,0,119
31/07/2020,Drenthe,22,Overleden,0,41
31/07/2020,Drenthe,22,Totaal,1,551
31/07/2020,Drenthe,22,Ziekenhuisopname,0,119
01/08/2020,Drenthe,22,Overleden,0,41
01/08/2020,Drenthe,22,Totaal,1,552
01/08/2020,Drenthe,22,Ziekenhuisopname,0,119
02/08/2020,Drenthe,22,Overleden,0,41
02/08/2020,Drenthe,22,Totaal,1,553
02/08/2020,Drenthe,22,Ziekenhuisopname,0,119
03/08/2020,Drenthe,22,Overleden,0,41
03/08/2020,Drenthe,22,Totaal,1,554
03/08/2020,Drenthe,22,Ziekenhuisopname,0,119
04/08/2020,Drenthe,22,Overleden,0,41
04/08/2020,Drenthe,22,Totaal,0,554
04/08/2020,Drenthe,22,Ziekenhuisopname,0,119
05/08/2020,Drenthe,22,Overleden,0,41
05/08/2020,Drenthe,22,Totaal,5,559
05/08/2020,Drenthe,22,Ziekenhuisopname,0,119
06/08/2020,Drenthe,22,Overleden,0,41
06/08/2020,Drenthe,22,Totaal,3,562
06/08/2020,Drenthe,22,Ziekenhuisopname,0,119
07/08/2020,Drenthe,22,Overleden,0,41
07/08/2020,Drenthe,22,Totaal,1,563
07/08/2020,Drenthe,22,Ziekenhuisopname,0,119
08/08/2020,Drenthe,22,Overleden,0,41
08/08/2020,Drenthe,22,Totaal,3,566
08/08/2020,Drenthe,22,Ziekenhuisopname,0,119
09/08/2020,Drenthe,22,Overleden,0,41
09/08/2020,Drenthe,22,Totaal,5,571
09/08/2020,Drenthe,22,Ziekenhuisopname,0,119
10/08/2020,Drenthe,22,Overleden,0,41
10/08/2020,Drenthe,22,Totaal,0,571
10/08/2020,Drenthe,22,Ziekenhuisopname,0,119
11/08/2020,Drenthe,22,Overleden,0,41
11/08/2020,Drenthe,22,Totaal,2,573
11/08/2020,Drenthe,22,Ziekenhuisopname,0,119
12/08/2020,Drenthe,22,Overleden,0,41
12/08/2020,Drenthe,22,Totaal,2,575
12/08/2020,Drenthe,22,Ziekenhuisopname,0,119
13/08/2020,Drenthe,22,Overleden,0,41
13/08/2020,Drenthe,22,Totaal,3,578
13/08/2020,Drenthe,22,Ziekenhuisopname,0,119
14/08/2020,Drenthe,22,Overleden,0,41
14/08/2020,Drenthe,22,Totaal,1,579
14/08/2020,Drenthe,22,Ziekenhuisopname,0,119
15/08/2020,Drenthe,22,Overleden,0,41
15/08/2020,Drenthe,22,Totaal,2,581
15/08/2020,Drenthe,22,Ziekenhuisopname,0,119
16/08/2020,Drenthe,22,Overleden,0,41
16/08/2020,Drenthe,22,Totaal,1,582
16/08/2020,Drenthe,22,Ziekenhuisopname,0,119
17/08/2020,Drenthe,22,Overleden,0,41
17/08/2020,Drenthe,22,Totaal,3,585
17/08/2020,Drenthe,22,Ziekenhuisopname,0,119
18/08/2020,Drenthe,22,Overleden,0,41
18/08/2020,Drenthe,22,Totaal,1,586
18/08/2020,Drenthe,22,Ziekenhuisopname,0,119
19/08/2020,Drenthe,22,Overleden,0,41
19/08/2020,Drenthe,22,Totaal,1,587
19/08/2020,Drenthe,22,Ziekenhuisopname,0,119
20/08/2020,Drenthe,22,Overleden,0,41
20/08/2020,Drenthe,22,Totaal,3,590
20/08/2020,Drenthe,22,Ziekenhuisopname,0,119
21/08/2020,Drenthe,22,Overleden,0,41
21/08/2020,Drenthe,22,Totaal,2,592
21/08/2020,Drenthe,22,Ziekenhuisopname,0,119
22/08/2020,Drenthe,22,Overleden,0,41
22/08/2020,Drenthe,22,Totaal,3,595
22/08/2020,Drenthe,22,Ziekenhuisopname,0,119
23/08/2020,Drenthe,22,Overleden,0,41
